name,연도,팀명,ERA,G,CG,SHO,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER
구대성,1993,빙그레,2.53,6,0,0,2,1,0,0,0.667,89,21 1/3,18,0,12,0,11,6,6
구대성,1994,한화,2.60,34,2,0,7,8,12,0,0.467,500,121,89,8,58,4,128,42,35
구대성,1995,한화,3.54,47,6,0,4,14,18,0,0.222,660,155,127,18,72,11,161,77,61
구대성,1996,한화,1.88,55,1,0,18,3,24,0,0.857,521,139,79,7,27,6,183,32,29
구대성,1997,한화,3.16,47,0,0,8,8,25,0,0.500,417,102 2/3,65,7,41,8,134,38,36
구대성,1998,한화,2.55,59,0,0,8,7,24,0,0.533,500,123 2/3,87,5,52,5,129,45,35
구대성,1999,한화,3.09,55,0,0,8,9,26,0,0.471,503,119 1/3,95,13,48,5,138,44,41
구대성,2000,한화,2.77,48,0,0,6,7,21,0,0.462,540,133 1/3,98,13,47,8,136,47,41
구대성,2006,한화,1.82,59,0,0,3,4,37,1,0.429,282,69 1/3,56,4,18,5,76,17,14
구대성,2007,한화,3.19,43,0,0,1,6,26,0,0.143,173,42 1/3,41,3,12,0,37,17,15
구대성,2008,한화,3.48,38,0,0,2,3,0,9,0.400,167,41 1/3,39,2,14,2,29,17,16
구대성,2009,한화,3.72,71,0,0,0,0,1,8,-,224,55 2/3,54,5,11,3,56,24,23
구대성,2010,한화,9.64,7,0,0,0,1,0,0,0.000,25,4 2/3,7,2,3,0,3,6,5
오승환,2005,삼성,1.18,61,0,0,10,1,16,11,0.909,358,99,46,5,20,0,115,13,13
오승환,2006,삼성,1.59,63,0,0,4,3,47,0,0.571,289,79 1/3,43,1,12,1,109,15,14
오승환,2007,삼성,1.40,60,0,0,4,4,40,0,0.500,251,64 1/3,41,6,17,2,69,12,10
오승환,2008,삼성,1.40,57,0,0,1,1,39,0,0.500,219,57 2/3,34,2,15,1,51,9,9
오승환,2009,삼성,4.83,35,0,0,2,2,19,0,0.500,140,31 2/3,28,7,17,0,51,17,17
오승환,2010,삼성,4.50,16,0,0,0,0,4,0,-,60,14,13,4,5,0,19,7,7
오승환,2011,삼성,0.63,54,0,0,1,0,47,0,1.000,204,57,27,2,11,0,76,4,4
오승환,2012,삼성,1.94,50,0,0,2,1,37,0,0.667,215,55 2/3,33,1,13,3,81,12,12
오승환,2013,삼성,1.74,48,0,0,4,1,28,0,0.800,196,51 2/3,33,4,10,2,54,13,10
오승환,2020,삼성,2.64,45,0,0,3,2,18,2,0.600,201,47 2/3,44,2,15,2,39,14,14
오승환,2021,삼성,2.03,64,0,0,0,2,44,0,0.000,252,62,56,3,16,2,57,17,14
오승환,2022,삼성,3.32,57,0,0,6,2,31,2,0.750,239,57,59,8,13,1,51,23,21
오승환,2023,삼성,3.45,58,0,0,4,5,30,2,0.444,264,62 2/3,57,9,15,2,44,26,24
오승환,2024,삼성,4.17,47,0,0,2,7,27,0,0.222,209,45 1/3,55,4,15,3,30,21,21
