연도,삼성,KIA,롯데,LG,두산,한화,SSG,키움,NC,KT,현대,쌍방울,계,연도_avg,삼성_avg,KIA_avg,롯데_avg,LG_avg,두산_avg,한화_avg,SSG_avg,키움_avg,NC_avg,KT_avg,현대_avg,쌍방울_avg,계_avg
2023,"845,775","717,025","891,745","1,202,637","969,562","566,785","1,068,211","583,629","557,607","697,350",,,"8,100,326",,"11,912","10,099","12,216","16,939","13,282","7,764","14,633","8,220","7,854","9,553",,,"11,250"
2022,"674,452","604,394","631,656","930,163","644,614","358,190","981,546","349,773","369,018","532,268",,,"6,076,074",,"9,367","8,394","8,773","12,919","8,953","4,975","13,633","4,858","5,125","7,393",,,"8,439"
2021,"278,222","104,989","138,294","116,691","98,036","103,960","118,412","67,407","128,289","74,189",,,"1,228,489",,"3,864","1,458","1,921","1,621","1,362","1,444","1,645",936,"1,782","1,030",,,"1,706"
2020,"27,819","21,198","36,717","41,317","55,047","19,962","30,608","27,158","45,992","22,499",,,"328,317",,386,294,510,574,765,277,425,377,639,312,,,456
2019,"691,681","692,163","679,208","1,000,400","983,474","555,225","982,962","453,886","710,274","536,735",,,"7,286,008",,"9,607","9,613","9,433","13,894","13,659","7,711","13,652","6,304","9,865","7,455",,,"10,119"
2018,"752,310","861,729","901,634","1,108,677","1,112,066","734,110","1,037,211","454,574","442,872","668,559",,,"8,073,742",,"10,449","11,968","12,523","15,398","15,445","10,196","14,406","6,314","6,151","9,286",,,"11,214"
2017,"704,857","1,024,830","1,038,492","1,134,846","1,094,829","593,251","892,541","699,380","531,121","686,541",,,"8,400,688",,"9,790","14,234","14,424","15,762","15,206","8,240","12,396","9,714","7,377","9,535",,,"11,668"
2016,"851,417","773,499","852,639","1,157,646","1,165,020","660,472","865,194","782,121","549,125","682,444",,,"8,339,577",,"11,825","10,743","11,842","16,078","16,181","9,173","12,017","10,863","7,627","9,478",,,"11,583"
2015,"524,971","710,141","800,962","1,053,405","1,120,381","657,385","814,349","510,802","522,669","645,465",,,"7,360,530",,"7,291","9,863","11,124","14,630","15,560","9,130","11,310","7,094","7,259","8,964",,,"10,223"
2014,"505,045","663,430","830,820","1,167,400","1,128,298","475,126","829,822","442,941","467,033",,,,"6,509,915",,"7,891","10,366","12,982","18,241","17,630","7,424","12,966","6,921","7,297",,,,"11,302"
2013,"451,483","470,526","770,731","1,289,297","1,152,615","386,893","912,042","479,619","528,739",,,,"6,441,945",,"7,054","7,352","12,043","20,145","18,010","6,045","14,251","7,494","8,262",,,,"11,184"
2012,"544,859","502,016","1,368,995","1,259,480","1,291,703","519,794","1,069,929","599,381",,,,,"7,156,157",,"8,255","7,493","20,742","18,798","19,571","7,758","16,211","8,946",,,,,"13,451"
2011,"508,645","592,653","1,358,322","1,191,715","1,253,735","464,871","998,660","441,427",,,,,"6,810,028",,"7,592","8,980","20,273","18,056","18,712","7,044","14,905","6,688",,,,,"12,801"
2010,"455,246","436,285","1,175,665","1,010,078","1,070,673","397,297","983,886","399,496",,,,,"5,928,626",,"6,898","6,512","17,813","15,076","16,222","5,930","14,907","5,963",,,,,"11,144"
2009,"387,389","582,005","1,380,018","975,333","1,053,966","375,589","841,270","329,715",,,,,"5,925,285",,"5,782","8,818","20,597","14,778","15,731","5,691","12,556","4,996",,,,,"11,138"
2008,"387,231","367,794","1,379,735","806,662","929,600","372,986","754,247","258,077",,,,,"5,256,332",,"6,147","5,838","21,901","12,804","14,756","5,920","11,972","4,096",,,,,"10,429"
2007,"336,936","207,232","759,513","901,172","786,054","322,537","656,426",,,,"134,559",,"4,104,429",,"5,348","3,289","12,056","14,304","12,477","5,120","10,419",,,,"2,136",,"8,144"
2006,"247,787","204,148","441,133","718,635","726,359","244,664","331,143",,,,"126,385",,"3,040,254",,"3,933","3,240","7,002","11,407","11,530","3,884","5,256",,,,"2,006",,"6,032"
2005,"360,386","166,197","652,475","754,888","616,679","218,333","458,121",,,,"160,764",,"3,387,843",,"5,720","2,638","10,357","11,982","9,789","3,466","7,272",,,,"2,552",,"6,722"
2004,"195,872","155,881","307,537","620,865","456,726","128,387","337,674",,,,"129,036",,"2,331,978",,"2,923","2,362","4,590","9,407","6,817","1,916","5,116",,,,"1,955",,"4,383"
2003,"356,712","266,111","150,722","746,858","425,782","162,735","438,966",,,,"174,915",,"2,722,801",,"5,405","3,972","2,284","11,147","6,451","2,466","6,552",,,,"2,611",,"5,118"
2002,"247,698","231,955","127,995","637,878","469,080","158,650","402,732",,,,"118,582",,"2,394,570",,"3,697","3,514","1,910","9,665","7,001","2,368","6,102",,,,"1,797",,"4,501"
2001,"418,612","284,486","400,573","707,144","620,094","233,374","178,645",,,,"148,136",,"2,991,064",,"6,343","4,246","6,069","10,554","9,395","3,536","2,666",,,,"2,211",,"5,622"
