이름,국내복귀,복귀 소속팀,검색시작일,검색종료일,기사량
김광현,2022,SSG 랜더스,2021-12-01,2022-03-31,249
김현수,2018,LG 트윈스,2017-12-01,2018-03-31,284
류현진,2024,한화이글스,2023-12-01,2024-03-31,1637
박병호,2018,넥센히어로즈,2017-12-01,2018-03-31,243
양현종,2022,KIA 타이거즈,2021-12-01,2022-03-31,319
오승환,2019,삼성라이온즈,2018-12-01,2019-03-31,87
추신수,2021,SSG 랜더스,2020-12-01,2021-03-31,552
황재균,2018,KT 위즈,2017-12-01,2018-03-31,189
구대성,2006,한화이글스,2005-12-01,2006-03-31,153
김병현,2012,넥센히어로즈,2011-12-01,2012-03-31,450
김선우,2008,두산베어즈,2007-12-01,2008-03-31,128
류제국,2013,LG 트윈스,2012-12-01,2013-03-31,18
박찬호,2012,한화 이글스,2011-12-01,2012-03-31,1081
봉중근,2007,LG 트윈스,2006-12-01,2007-03-31,42
서재응,2008,KIA 타이거즈,2007-12-01,2008-03-31,256
송승준,2007,롯데 자이언츠,2006-12-01,2007-03-31,49
윤석민,2015,KIA타이거즈,2014-12-01,2015-03-31,401
이대은,2019,KT위즈,2018-12-01,2019-03-31,100
이대호,2017,롯데 자이언츠,2016-12-01,2017-03-31,528
이상훈,2002,LG트윈스,2001-12-01,2002-03-31,26
임창용,2014,삼성라이온즈,2013-12-01,2014-03-31,281
최희섭,2007,KIA타이거즈,2006-12-01,2017-03-31,107
김태균,2012,한화이글스,2011-12-01,2012-03-31,893
이범호,2011,KIA타이거즈,2010-12-01,2011-03-31,275
이병규,2010,LG트윈스,2009-12-01,2010-03-31,195
이승엽,2012,삼성라이온즈,2011-12-01,2012-03-31,992
