,구분,이름,출생,포지션,국내입단연도,첫구단활동종료,첫구단활동기간,첫소속구단,해외진출연도,해외 첫 소속팀,국내복귀,복귀 소속팀,연봉(백만원)
4,메이저리그,김광현,1988,좌완선발,2007,2019,13,SK와이번스,2020,세인트루이스 카디널스,2022,SSG 랜더스,8100
8,메이저리그,김현수,1988,좌익수/1루수,2006,2015,10,두산베어스,2016,볼티모어 오리올스,2018,LG 트윈스,1400
9,메이저리그,류현진,1987,좌완선발,2006,2012,7,한화이글스,2013,LA다저스,2024,한화이글스,2500
10,메이저리그,박병호,1986,1루수,2005,2011,7,LG트윈스,2016,미네소타 트윈스,2018,넥센히어로즈,1500
12,메이저리그,양현종,1988,좌완투수,2007,2020,14,KIA타이거즈,2021,텍사스 레이져스,2022,KIA 타이거즈,1000
13,메이저리그,오승환,1982,우완투수/마무리,2005,2013,9,삼성라이온즈,2016,세인트루이스 카디널스,2019,삼성라이온즈,600
18,메이저리그,추신수,1982,외야수,,,,,2005,시애틀 매리너스,2021,SSG 랜더스,2700
20,메이저리그,황재균,1987,3루수,2006,2010,5,현대유니콘스,2017,샌프란시스코 자이언츠,2018,KT 위즈,1200
21,메이저리그,구대성,1969,좌완투수,1993,2000,8,한화이글스,2005,뉴욕메츠,2006,한화이글스,
22,메이저리그,김병현,1979,우완투수,,,,,1999,애리조나 다이아몬드 백스,2012,넥센히어로즈,200
23,메이저리그,김선우,1977,우완투수,,,,,2001,보스턴 레드삭스,2008,두산베어즈,400
25,메이저리그,류제국,1983,우완투수,,,,,2006,시카고 컵스,2013,LG 트윈스,100
26,메이저리그,박찬호,1973,투수,,,,,1994,LA 다저스,2012,한화 이글스,24
27,메이저리그,봉중근,1980,좌완투수,,,,,2002,애틀란타 브레이브스,2007,LG 트윈스,350
28,메이저리그,서재응,1977,우완투수,,,,,2002,뉴욕메츠,2008,KIA 타이거즈,500
29,메이저리그,송승준,1980,우완투수,,,,,1999,보스턴 레드삭스(마이너),2007,롯데 자이언츠,100
30,메이저리그,윤석민,1986,우완투수,2005,2013,9,KIA타이거즈,2014,볼티모어 오리올스,2015,KIA타이거즈,1250
31,메이저리그,이대은,1989,우완투수,,,,,2008,시카고 컵스,2019,KT위즈,27
32,메이저리그,이대호,1982,1루수/지명타자,2001,2011,11,롯데자이언츠,2016,시애틀 매리너스,2017,롯데 자이언츠,2500
33,메이저리그,이상훈,1971,좌완투수,1993,1997,5,LG트윈스,2000,보스턴 레드삭스,2002,LG트윈스,600
34,메이저리그,임창용,1976,사이드암투수,1995,1998,4,해태타이거즈,2013,시카고 컵스,2014,삼성라이온즈,500
35,메이저리그,최희섭,1979,1루수,,,,,2002,시카고 컵스,2007,KIA타이거즈,350
36,NPB 리그,김태균,1982,1루수,2001,2009,9,한화이글스,2010,지바 롯데 마린즈,2012,한화이글스,1500
37,NPB 리그,이범호,1981,내야수,2000,2009,10,한화이글스,2010,소프트뱅크 호크스,2011,KIA타이거즈,400
38,NPB 리그,이병규,1974,외야수,1997,2006,10,LG트위스,2007,주니치 드래곤즈,2010,LG트윈스,400
39,NPB 리그,이승엽,1976,1루수,1995,2003,9,삼성라이온즈,2004,지바 롯데 마린스,2012,삼성라이온즈,800
